RX Date/Time,Left Hip Yaw(field 1),Left Hip Roll(field 2),Left Hip Pitch(field 3),Left Knee Pitch(field 4),Left Ankle Pitch(field 5),Right Hip Yaw(field 6),Right Hip Roll(field 7),Right Hip Pitch(field 8),Right Knee Pitch(field 9),Right Ankle Pitch(field 10)
2025/04/01/ 21:40:24::810,0.10317,1.315845,0.521427,-0.074231,-1.305339,0.276027,-1.953783,-0.195376,0.652266,-1.633082
2025/04/01/ 21:40:24::836,-0.006827,1.222043,0.397732,-0.04451,-1.008319,0.305956,-2.795328,-0.119368,0.696888,-1.784967
2025/04/01/ 21:40:24::863,-0.037915,1.26396,0.555462,0.020376,-0.667454,0.219301,-3.488238,0.124967,1.021099,-2.001374
2025/04/01/ 21:40:24::893,-0.08656,1.530404,0.820324,0.062923,-0.409621,0.156391,-3.917381,0.30524,1.188549,-2.17664
2025/04/01/ 21:40:24::923,-0.137726,1.68948,0.803635,0.182288,-0.183299,0.143877,-4.046474,0.358615,1.254317,-2.260048
2025/04/01/ 21:40:24::954,-0.170503,1.639197,0.73853,0.306668,-0.03431,0.161543,-3.777055,0.125799,1.024562,-2.307841
2025/04/01/ 21:40:24::983,-0.221473,1.449185,0.71664,0.398788,-0.057905,0.166971,-3.222657,-0.092549,0.6957,-2.316691
2025/04/01/ 21:40:25::013,-0.267518,1.121072,0.716754,0.759001,-0.26947,0.168024,-2.388927,-0.256248,0.608175,-2.268087
2025/04/01/ 21:40:25::043,-0.25766,0.77066,0.716512,0.938393,-0.560089,0.104502,-1.767189,-0.442187,0.395437,-2.143423
2025/04/01/ 21:40:25::079,-0.325472,0.790034,0.643299,0.90529,-0.883096,-0.03803,-1.355623,-0.310693,0.073925,-1.96526
2025/04/01/ 21:40:25::103,-0.398999,1.405261,0.6047,0.902386,-1.086568,-0.210065,-1.19676,-0.19582,-0.189867,-1.625123
2025/04/01/ 21:40:25::135,-0.26568,2.109939,0.84257,1.081118,-1.166496,-0.151151,-1.001682,-0.162377,-0.485924,-1.267394
2025/04/01/ 21:40:25::165,-0.226208,2.778602,0.838178,1.31375,-1.298628,-0.111914,-0.948209,-0.378112,-0.736386,-0.8283
2025/04/01/ 21:40:25::198,-0.106131,3.553485,0.846378,1.536476,-1.472021,-0.183365,-1.063348,-0.634467,-0.818117,-0.518254
2025/04/01/ 21:40:25::224,-0.116333,4.065912,0.70318,1.724674,-1.625363,-0.201574,-1.288121,-0.437814,-0.999834,-0.29181
2025/04/01/ 21:40:25::254,-0.089784,4.204092,0.642192,1.669725,-1.828947,-0.144962,-1.494378,-0.051342,-0.697719,-0.175692
2025/04/01/ 21:40:25::283,-0.058059,3.851837,0.444504,1.693247,-1.997942,-0.082114,-1.565037,0.300829,-0.346363,-0.052526
